[ 2025-07-20 15:46:33,620 ] 15 root - INFO - Initiate Data Ingestion
[ 2025-07-20 15:46:37,417 ] 64 root - INFO - Performed train test split on the dataframe
[ 2025-07-20 15:46:37,418 ] 65 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-07-20 15:46:37,419 ] 71 root - INFO - Exporting train and test file path.
[ 2025-07-20 15:46:37,539 ] 80 root - INFO - Exported train and test file path.
[ 2025-07-20 15:46:37,541 ] 17 root - INFO - Data Ingestion completed
[ 2025-07-20 15:46:37,562 ] 20 root - INFO - Initiate the data validation
[ 2025-07-20 15:46:37,718 ] 33 root - INFO - Required number of columns : 31
[ 2025-07-20 15:46:37,720 ] 34 root - INFO - Data frame has columns : 31
[ 2025-07-20 15:46:37,721 ] 33 root - INFO - Required number of columns : 31
[ 2025-07-20 15:46:37,721 ] 34 root - INFO - Data frame has columns : 31
[ 2025-07-20 15:46:38,075 ] 22 root - INFO - Data validation completed
[ 2025-07-20 15:46:38,076 ] 25 root - INFO - Data transformation started
[ 2025-07-20 15:46:38,076 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-07-20 15:46:38,076 ] 65 root - INFO - Starting data transformation
[ 2025-07-20 15:46:38,253 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2025-07-20 15:46:38,253 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-07-20 15:46:38,313 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-07-20 15:46:38,327 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-07-20 15:46:38,327 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-07-20 15:46:38,370 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-07-20 15:46:38,372 ] 29 root - INFO - data Transformation completed
