[ 2025-07-20 17:34:50,288 ] 16 root - INFO - Initiate Data Ingestion
[ 2025-07-20 17:34:53,376 ] 64 root - INFO - Performed train test split on the dataframe
[ 2025-07-20 17:34:53,376 ] 65 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-07-20 17:34:53,377 ] 71 root - INFO - Exporting train and test file path.
[ 2025-07-20 17:34:53,478 ] 80 root - INFO - Exported train and test file path.
[ 2025-07-20 17:34:53,480 ] 18 root - INFO - Data Ingestion completed
[ 2025-07-20 17:34:53,494 ] 21 root - INFO - Initiate the data validation
[ 2025-07-20 17:34:53,633 ] 33 root - INFO - Required number of columns : 31
[ 2025-07-20 17:34:53,634 ] 34 root - INFO - Data frame has columns : 31
[ 2025-07-20 17:34:53,634 ] 33 root - INFO - Required number of columns : 31
[ 2025-07-20 17:34:53,634 ] 34 root - INFO - Data frame has columns : 31
[ 2025-07-20 17:34:53,941 ] 23 root - INFO - Data validation completed
[ 2025-07-20 17:34:53,942 ] 26 root - INFO - Data transformation started
[ 2025-07-20 17:34:53,942 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-07-20 17:34:53,942 ] 65 root - INFO - Starting data transformation
[ 2025-07-20 17:34:54,074 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2025-07-20 17:34:54,075 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-07-20 17:34:54,099 ] 48 root - INFO - Entered the save_object method of MainUtils class
[ 2025-07-20 17:34:54,106 ] 52 root - INFO - Exited the save_object method of MainUtils class
[ 2025-07-20 17:34:54,106 ] 48 root - INFO - Entered the save_object method of MainUtils class
[ 2025-07-20 17:34:54,140 ] 52 root - INFO - Exited the save_object method of MainUtils class
[ 2025-07-20 17:34:54,141 ] 30 root - INFO - data Transformation completed
