[ 2025-07-20 17:23:53,670 ] 16 root - INFO - Initiate Data Ingestion
[ 2025-07-20 17:23:57,359 ] 64 root - INFO - Performed train test split on the dataframe
[ 2025-07-20 17:23:57,360 ] 65 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-07-20 17:23:57,362 ] 71 root - INFO - Exporting train and test file path.
[ 2025-07-20 17:23:57,601 ] 80 root - INFO - Exported train and test file path.
[ 2025-07-20 17:23:57,603 ] 18 root - INFO - Data Ingestion completed
[ 2025-07-20 17:23:57,636 ] 21 root - INFO - Initiate the data validation
[ 2025-07-20 17:23:57,828 ] 33 root - INFO - Required number of columns : 31
[ 2025-07-20 17:23:57,831 ] 34 root - INFO - Data frame has columns : 31
[ 2025-07-20 17:23:57,832 ] 33 root - INFO - Required number of columns : 31
[ 2025-07-20 17:23:57,832 ] 34 root - INFO - Data frame has columns : 31
[ 2025-07-20 17:23:58,493 ] 23 root - INFO - Data validation completed
[ 2025-07-20 17:23:58,496 ] 26 root - INFO - Data transformation started
[ 2025-07-20 17:23:58,496 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-07-20 17:23:58,496 ] 65 root - INFO - Starting data transformation
[ 2025-07-20 17:23:58,692 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2025-07-20 17:23:58,692 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-07-20 17:23:58,740 ] 48 root - INFO - Entered the save_object method of MainUtils class
[ 2025-07-20 17:23:58,751 ] 52 root - INFO - Exited the save_object method of MainUtils class
[ 2025-07-20 17:23:58,752 ] 48 root - INFO - Entered the save_object method of MainUtils class
[ 2025-07-20 17:23:58,795 ] 52 root - INFO - Exited the save_object method of MainUtils class
[ 2025-07-20 17:23:58,797 ] 30 root - INFO - data Transformation completed
