[ 2025-07-20 18:18:23,669 ] 16 root - INFO - Initiate Data Ingestion
[ 2025-07-20 18:18:26,943 ] 64 root - INFO - Performed train test split on the dataframe
[ 2025-07-20 18:18:26,943 ] 65 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-07-20 18:18:26,944 ] 71 root - INFO - Exporting train and test file path.
[ 2025-07-20 18:18:27,055 ] 80 root - INFO - Exported train and test file path.
[ 2025-07-20 18:18:27,056 ] 18 root - INFO - Data Ingestion completed
[ 2025-07-20 18:18:27,075 ] 21 root - INFO - Initiate the data validation
[ 2025-07-20 18:18:27,198 ] 33 root - INFO - Required number of columns : 31
[ 2025-07-20 18:18:27,199 ] 34 root - INFO - Data frame has columns : 31
[ 2025-07-20 18:18:27,199 ] 33 root - INFO - Required number of columns : 31
[ 2025-07-20 18:18:27,199 ] 34 root - INFO - Data frame has columns : 31
[ 2025-07-20 18:18:27,423 ] 23 root - INFO - Data validation completed
[ 2025-07-20 18:18:27,423 ] 26 root - INFO - Data transformation started
[ 2025-07-20 18:18:27,423 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-07-20 18:18:27,423 ] 65 root - INFO - Starting data transformation
[ 2025-07-20 18:18:27,536 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2025-07-20 18:18:27,537 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-07-20 18:18:27,560 ] 48 root - INFO - Entered the save_object method of MainUtils class
[ 2025-07-20 18:18:27,565 ] 52 root - INFO - Exited the save_object method of MainUtils class
[ 2025-07-20 18:18:27,565 ] 48 root - INFO - Entered the save_object method of MainUtils class
[ 2025-07-20 18:18:27,595 ] 52 root - INFO - Exited the save_object method of MainUtils class
[ 2025-07-20 18:18:27,598 ] 30 root - INFO - data Transformation completed
[ 2025-07-20 18:30:02,151 ] 48 root - INFO - Entered the save_object method of MainUtils class
[ 2025-07-20 18:30:02,159 ] 52 root - INFO - Exited the save_object method of MainUtils class
[ 2025-07-20 18:30:02,159 ] 123 root - INFO - Model trainer artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts\\07_20_2025_18_19\\model_trainer\\trained_model\\model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.9908662049583459, precision_score=0.9887820512820513, recall_score=0.9929591631462482), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.9798488664987406, precision_score=0.975752508361204, recall_score=0.9839797639123102))
