[ 2025-07-20 20:36:38,644 ] 1025 httpx - INFO - HTTP Request: POST https://dagshub.com/login/oauth/middleman "HTTP/1.1 200 OK"
[ 2025-07-20 20:36:39,058 ] 1025 httpx - INFO - HTTP Request: POST https://dagshub.com/login/oauth/access_token "HTTP/1.1 200 OK"
[ 2025-07-20 20:36:39,472 ] 1025 httpx - INFO - HTTP Request: GET https://dagshub.com/api/v1/user "HTTP/1.1 200 OK"
[ 2025-07-20 20:36:39,484 ] 107 dagshub - INFO - Accessing as manrajc13
[ 2025-07-20 20:36:39,981 ] 1025 httpx - INFO - HTTP Request: GET https://dagshub.com/api/v1/repos/manrajc13/networksecurity "HTTP/1.1 200 OK"
[ 2025-07-20 20:36:40,445 ] 1025 httpx - INFO - HTTP Request: GET https://dagshub.com/api/v1/user "HTTP/1.1 200 OK"
[ 2025-07-20 20:36:40,453 ] 107 dagshub - INFO - Initialized MLflow to track repo "manrajc13/networksecurity"
[ 2025-07-20 20:36:40,455 ] 107 dagshub - INFO - Repository manrajc13/networksecurity initialized!
[ 2025-07-20 20:36:40,690 ] 16 root - INFO - Initiate Data Ingestion
[ 2025-07-20 20:36:45,357 ] 64 root - INFO - Performed train test split on the dataframe
[ 2025-07-20 20:36:45,357 ] 65 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-07-20 20:36:45,358 ] 71 root - INFO - Exporting train and test file path.
[ 2025-07-20 20:36:45,606 ] 80 root - INFO - Exported train and test file path.
[ 2025-07-20 20:36:45,607 ] 18 root - INFO - Data Ingestion completed
[ 2025-07-20 20:36:45,653 ] 21 root - INFO - Initiate the data validation
[ 2025-07-20 20:36:45,794 ] 33 root - INFO - Required number of columns : 31
[ 2025-07-20 20:36:45,794 ] 34 root - INFO - Data frame has columns : 31
[ 2025-07-20 20:36:45,794 ] 33 root - INFO - Required number of columns : 31
[ 2025-07-20 20:36:45,794 ] 34 root - INFO - Data frame has columns : 31
[ 2025-07-20 20:36:46,274 ] 23 root - INFO - Data validation completed
[ 2025-07-20 20:36:46,274 ] 26 root - INFO - Data transformation started
[ 2025-07-20 20:36:46,274 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-07-20 20:36:46,274 ] 65 root - INFO - Starting data transformation
[ 2025-07-20 20:36:46,431 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2025-07-20 20:36:46,433 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-07-20 20:36:46,476 ] 48 root - INFO - Entered the save_object method of MainUtils class
[ 2025-07-20 20:36:46,483 ] 52 root - INFO - Exited the save_object method of MainUtils class
[ 2025-07-20 20:36:46,483 ] 48 root - INFO - Entered the save_object method of MainUtils class
[ 2025-07-20 20:36:46,507 ] 52 root - INFO - Exited the save_object method of MainUtils class
[ 2025-07-20 20:36:46,510 ] 30 root - INFO - data Transformation completed
